ATM_long,ATM_lat,PS_x,PS_y,ATM_elev,dist_along
334.8641,79.209985,398295.5883919471,-1102437.1746322205,889.8078,3741.6192292655514
334.865562,79.210691,398297.5076854223,-1102354.4673687462,890.2076,3824.348759173922
334.867024,79.211396,398299.46017554164,-1102271.863558249,890.5537,3906.9756417624953
334.865964,79.210884,398298.0765358075,-1102331.8415074514,890.3051,3966.969548531656
334.865688,79.20987099999999,398330.3756225754,-1102437.8489717324,889.7135,4077.788380366944
334.86714700000005,79.210575,398332.3094569468,-1102355.3678947575,890.1448,4160.292124368736
334.868606,79.211279,398334.2393781003,-1102272.8875148117,890.5094,4242.79507990166
334.867549,79.210769,398332.8406339208,-1102332.6392321028,890.2375,4302.5631667416465
334.867277,79.20975899999999,398365.1081797161,-1102438.3097748787,889.6178,4413.0505330882215
334.86873399999996,79.210461,398367.0757994648,-1102356.0479333247,890.0734,4495.335903010976
334.87019,79.211163,398369.02028374904,-1102273.7937376508,890.4529,4577.613079220936
334.869134,79.210654,398367.60508174583,-1102333.4358790831,890.1828,4637.2720084045595
334.868874,79.209648,398399.95786675153,-1102438.6111232645,889.5411,4747.310795594558
334.870328,79.210349,398401.9028946489,-1102356.4727197262,889.9776,4829.472224923384
334.871782,79.211049,398403.8811765435,-1102274.437756387,890.4056,4911.531038035091
334.870722,79.210539,398402.4275973407,-1102334.2105880752,890.1071,4971.321541465995
334.870469,79.209535,398434.8436686611,-1102439.1307955661,889.4527,5081.135254725235
334.87192000000005,79.210235,398436.7661183865,-1102357.1158296613,889.9197,5163.172748868615
334.873371,79.21093499999999,398438.6846984546,-1102275.1015531702,890.3586,5245.209463197151
334.87231,79.21042299999999,398437.28760103625,-1102335.08696446,890.0385,5305.211141913738
334.872066,79.209424,398469.69401541306,-1102439.4299746265,889.3678,5414.470647053347
334.873514,79.210123,398471.5938846506,-1102357.5384500658,889.879,5496.384206968685
334.874963,79.210822,398473.5091362889,-1102275.6406584391,890.3281,5578.304390453324
334.873897,79.210308,398472.09157952125,-1102335.866464369,890.0043,5638.546876848649
334.873662,79.209313,398504.5254479012,-1102439.7350246222,889.3017,5747.361552454273
334.875109,79.210011,398506.44122332474,-1102357.953032602,889.8507,5829.165980294376
334.876556,79.210708,398508.3902967599,-1102276.2744721994,890.3209,5910.867792494074
334.87548599999997,79.210192,398506.97153053293,-1102336.7337203093,889.9873,5971.343685043318
334.87526099999997,79.209202,398539.41493091505,-1102440.0181240574,889.2802,6079.603752870554
334.876704,79.209898,398541.32604089566,-1102358.4692772669,889.8639,6161.174990167958
334.878148,79.210594,398543.252562898,-1102276.914156421,890.331,6242.752862309838
334.877075,79.210077,398541.81468997645,-1102337.4971458951,889.9997,6303.352912575102
334.87685899999997,79.209091,398574.2854996117,-1102440.307093177,889.2672,6411.168675515701
334.878299,79.209786,398576.1740476318,-1102358.8816910654,889.8581,6492.6159757942305
334.87973900000003,79.21048,398578.09593463806,-1102277.5597129103,890.3334,6573.9606608124695
334.878664,79.209962,398576.6581990457,-1102338.259488835,890.0049,6634.677461460553
