,ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,slope_NS,slope_EW,ATM_elev_Sm,ATM_elev_SupSm
1964,78.943088,338.561931,480226.3295190277,-1101188.423356145,275.8868,82601.43777239011,0.0046825,-0.0326793,272.2452,268.8449
1965,78.942996,338.563417,480258.90924918436,-1101185.1852956729,274.0724,82634.17802059777,0.0234812,-0.07177510000000001,272.2452,268.82615
1966,78.942902,338.564906,480291.6341874882,-1101182.121512418,271.1925,82667.04606518247,0.0255903,-0.0941886,271.1925,268.81174999999996
1967,78.942809,338.566395,480324.31559155096,-1101178.9565879744,268.3049,82699.88036003162,0.0041725,-0.08095369999999999,268.3049,268.5578
1968,78.942717,338.567886,480356.99189179327,-1101175.6737580714,265.735,82732.72115127833,-0.0126471,-0.0864224,265.735,267.01995
1969,78.942625,338.569379,480389.70678521704,-1101172.3732058185,263.7291,82765.60211684961,-0.0247127,-0.053971300000000014,263.7291,264.73205
1970,78.942533,338.570874,480422.4602714434,-1101169.0549277824,262.6154,82798.52326247218,-0.0165208,-0.0349421,262.6154,263.17225
1971,78.942441,338.572369,480455.2139121638,-1101165.7356915716,261.649,82831.44465839438,-0.0062077,-0.0323564,261.649,262.1322
1972,78.942349,338.573869,480488.06380190287,-1101162.3735666876,260.7937,82864.466153509,0.0002664,-0.0180855,260.7937,261.22135000000003
1973,78.942258,338.57537,480520.8893486342,-1101158.901912545,260.2012,82897.47477209107,0.0070204,-0.0115794,260.2012,260.49744999999996
1974,78.942166,338.5768720000001,480553.7779809468,-1101155.521085875,259.7507,82930.53671583856,0.008522100000000001,-0.0092934,259.7507,259.97595
1975,78.942075,338.578376,480586.66148330475,-1101152.02234093,259.0497,82963.60582443741,0.0147754,-0.023849900000000004,259.0497,259.4002
1976,78.94198399999998,338.57988,480619.54513369047,-1101148.522629708,257.8679,82996.67518247962,0.0180963,-0.0330004,257.8679,258.4588
1977,78.94189300000002,338.581388,480652.5058065011,-1101144.988396324,256.3329,83029.82479420805,0.0121339,-0.0506896,256.3329,257.10040000000004
1978,78.94180300000002,338.582898,480685.4613349765,-1101141.3362399626,254.5212,83062.98207249166,-0.0017382,-0.0615908,254.5212,255.42705
1979,78.941712,338.584409,480718.4799553924,-1101137.7748944077,252.2427,83096.19219860298,-0.0053605,-0.0825271,252.2427,253.38195000000002
1980,78.941622,338.5859220000001,480751.4934254936,-1101134.095622372,249.5189,83129.41005902222,0.0012813,-0.08788739999999999,249.5189,250.88080000000002
1981,78.941532,338.587437,480784.54547376564,-1101130.3985933864,246.5316,83162.66822972205,0.0112051,-0.0968179,246.5316,248.02525
1982,78.941443,338.588952,480817.5539237119,-1101126.6004192443,243.3136,83195.8944828161,0.0196058,-0.0906808,243.3136,244.9226
1983,78.941354,338.590471,480850.6393823757,-1101122.7677009508,241.2696,83229.20119842293,0.0440081,-0.0121611,241.2696,242.29160000000002
1984,78.941265,338.591989,480883.70575817896,-1101118.9423965886,240.826,83262.48810519159,0.0624989,0.0178955,240.826,241.0478
1985,78.941177,338.593511,480916.8053942011,-1101114.9823749787,239.3833,83295.82378691474,0.049675800000000006,-0.060171900000000014,239.3833,240.10465
1986,78.941089,338.595036,480949.962813756,-1101110.996190622,238.1529,83329.21995641466,0.0363074,0.0,238.1529,238.7681
