ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,slope_NS,slope_EW
79.06223,336.74057400000004,440161.1954505713,-1103800.3255560056,708.9017,129474.20052669893,-0.0007087999999999999,-0.0076581
79.06235600000001,336.739122,440128.12270334666,-1103798.6897947022,709.1278,129507.31370117718,-0.00040869999999999996,-0.0074485
79.062483,336.737671,440095.0291148356,-1103796.9438781668,709.2989,129540.45331229571,-0.0011480000000000001,-0.0043619
79.06260999999999,336.736223,440061.993692661,-1103795.1739544156,709.341,129573.53611369371,-0.0024361,-0.0002698
79.062737,336.734775,440028.9586420805,-1103793.40306852,709.3659,129606.61859551888,-0.0014758,-0.0033063000000000003
79.062865,336.733326,439995.86423324706,-1103791.5373875308,709.3165,129639.76555105913,-0.0049535,0.0036226999999999995
79.06299200000001,336.731878,439962.82992854645,-1103789.764575821,709.0819,129672.84739121972,-0.0044576,0.0063392
79.06312,336.730432,439929.7940650581,-1103787.873931227,708.8743,129705.9373113375,-0.0024181999999999997,0.004305
79.063247,336.728989,439896.85682976316,-1103786.0608072656,708.741,129738.92441317103,-0.0013557999999999999,0.0028090999999999997
79.063375,336.72754100000003,439863.7831877427,-1103784.1835960252,708.596,129772.05128622809,-0.0017843,0.0048598
79.063503,336.7261,439830.8447750761,-1103782.2516852738,708.3635,129805.04630567266,-0.003007,0.0078338
79.063631,336.72465800000003,439797.8874742802,-1103780.326494486,708.0662,129838.05978830202,-0.0043733,0.0085833
79.06375899999999,336.72321600000004,439764.93055004935,-1103778.4003466077,707.6935,129871.07295083468,-0.0057416,0.010679799999999998
79.063887,336.721776,439732.0125314733,-1103776.4578921157,707.2586,129904.04823061252,-0.0067828,0.0113229
79.064015,336.720336,439699.0948893851,-1103774.5144828646,706.7547,129937.0231908121,-0.0090463,0.0141061
79.064143,336.718898,439666.2161527429,-1103772.5547716299,706.1146,129969.96027919755,-0.009180200000000001,0.0194799
79.06427099999999,336.71746,439633.33779249917,-1103770.5941079725,705.4006,130002.89704853359,-0.007506100000000001,0.019340299999999998
79.064399,336.716025,439600.5176018736,-1103768.6094744818,704.8144,130035.77718969494,-0.006838200000000001,0.0120773
79.064527,336.714589,439567.67852313764,-1103766.6315639433,704.3466,130068.67577966966,-0.0091542,0.0111496
79.064656,336.713152,439534.78012720286,-1103764.5588483633,703.9285,130101.63940515227,-0.008315799999999998,0.007684100000000001
79.064784,336.711719,439501.99959664687,-1103762.5560238543,703.6057,130134.48106299023,-0.0069085,0.006033
