ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,slope_NS,slope_EW,geometry
79.002932,337.48106,456867.4341274428,-1104007.6394946608,553.3021,59004.82963301195,-0.0104695,-0.0141347,POINT (456867.4341274428 -1104007.639494661)
79.002827,337.482515,456899.85800912866,-1104006.6405532584,553.004,59037.26889914893,-0.0112075,-0.0134686,POINT (456899.8580091287 -1104006.640553258)
79.002723,337.483972,456932.27887696127,-1104005.523745595,552.7025,59069.70899671932,-0.0113213,-0.013927000000000002,POINT (456932.2788769613 -1104005.523745595)
79.002619,337.485427,456964.66144715366,-1104004.4219557892,552.4279,59102.110305227485,-0.013025700000000001,-0.013520600000000002,POINT (456964.6614471537 -1104004.421955789)
79.002516,337.486882,456997.00245608937,-1104003.2182538214,552.1492,59134.473706739176,-0.0140773,-0.015486000000000002,POINT (456997.0024560894 -1104003.218253821)
79.00241199999999,337.488337,457029.38550255337,-1104002.114603106,551.7971,59166.87555457524,-0.014929,-0.0187059,POINT (457029.3855025534 -1104002.114603106)
79.002309,337.489795,457061.78478791774,-1104000.885110594,551.3792,59199.29816002204,-0.0161316,-0.0202676,POINT (457061.7847879177 -1104000.885110594)
79.002207,337.49125,457094.0846936689,-1103999.5776411125,551.0015,59231.62451750285,-0.016798,-0.016184200000000003,POINT (457094.0846936689 -1103999.577641112)
79.002105,337.492707,457126.42336527363,-1103998.2532880667,550.6854,59263.99029560488,-0.0155233,-0.0159039,POINT (457126.4233652736 -1103998.253288067)
79.002003,337.494164,457158.7622658035,-1103996.9280059102,550.3634,59296.35634047102,-0.013894,-0.0150895,POINT (457158.7622658035 -1103996.92800591)
79.001903,337.495625,457191.0948363797,-1103995.367926846,550.049,59328.726526858336,-0.013639700000000001,-0.0148263,POINT (457191.0948363797 -1103995.367926846)
79.00180300000001,337.49708300000003,457223.3698203342,-1103993.8308584846,549.6796,59361.03809086274,-0.0158686,-0.020485200000000002,POINT (457223.3698203342 -1103993.830858485)
79.001704,337.49854300000004,457255.6417380857,-1103992.175929992,549.1764,59393.35241375023,-0.015493799999999999,-0.0233517,POINT (457255.6417380857 -1103992.175929992)
79.001604,337.500004,457287.97496119054,-1103990.613065826,548.6557,59425.72338625258,-0.0140778,-0.0203025,POINT (457287.9749611905 -1103990.613065826)
79.001506,337.501464,457320.2054814108,-1103988.8553124845,548.1574,59458.00180211329,-0.013241800000000001,-0.0220097,POINT (457320.2054814108 -1103988.855312485)
79.001409,337.502924,457352.39438058506,-1103986.9956653025,547.5852,59490.24437517583,-0.0116239,-0.023408,POINT (457352.3943805851 -1103986.995665303)
