,ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,ATM_elev_Sm,ATM_elev_SupSm
3063,78.917898,340.03136,509471.7867713642,-1091006.3362884591,28.8187,113799.81839530793,28.4953,28.4835
3064,78.917911,340.032905,509500.6046695437,-1090991.3103166006,28.4953,113832.3184120122,28.5095,28.482950000000002
3065,78.917923,340.03445,509529.4683820402,-1090976.3826208722,28.3117,113864.81379628187,28.4953,28.48195
3066,78.917935,340.035994,509558.312619091,-1090961.4630552905,28.5562,113897.28814690188,28.5133,28.48195
3067,78.91794399999998,340.0375390000001,509587.31424132385,-1090946.830936839,31.9867,113929.77188102393,28.5562,28.48195
3068,78.917953,340.039083,509616.2964045983,-1090932.206942074,37.3221,113962.23458286712,28.8187,28.48195
3069,78.91796,340.040628,509645.38971964346,-1090917.771346498,39.3326,113994.71238143696,29.0005,28.4792
3070,78.917966,340.042171,509674.4908145709,-1090903.4517968737,38.5093,114027.14574739596,29.5471,28.4792
3071,78.91797199999998,340.043715,509703.6105474659,-1090889.1225750295,37.3193,114059.60010677238,29.7671,28.4746
3072,78.917976,340.045259,509732.8224239796,-1090874.9906324206,33.8899,114092.05076980645,29.7671,28.4717
3073,78.917978,340.0468029999999,509762.1264601014,-1090861.0559615735,29.7671,114124.499214833,29.7671,28.4717
3074,78.91798,340.048346,509791.41107649286,-1090847.1294010847,29.5471,114156.9266390947,29.7671,28.4717
3075,78.91798100000003,340.049888,509820.7225547518,-1090833.3099769857,32.2795,114189.33249103774,29.7671,28.4717
3076,78.91798100000003,340.05143,509850.07994196727,-1090819.5887885243,29.0005,114221.73815716125,29.7671,28.4709
3077,78.91798,340.052972,509879.4832461172,-1090805.965831972,28.2592,114254.14400910444,29.7671,28.4632
3078,78.917978,340.054513,509908.91343725147,-1090792.4500031918,28.5133,114286.52940361825,29.7671,28.4632
3079,78.917975,340.056055,509938.4085994218,-1090779.0234997936,34.5752,114318.9367420612,29.7671,28.4632
3080,78.91797199999998,340.057594,509967.8462958747,-1090765.6229007165,40.454,114351.28104647613,29.5471,28.45185
3081,78.917967,340.059135,509997.41430852783,-1090752.4017389796,40.5388,114383.67034239194,29.0005,28.45185
3082,78.917962,340.060675,510026.9629419096,-1090739.188677427,38.0786,114416.03864062227,28.5133,28.44755
3083,78.917956,340.062215,510056.55753564026,-1090726.0738299876,32.6393,114448.40898509733,28.5124,28.4459
3084,78.917949,340.063754,510086.17906115827,-1090713.0660956209,28.5124,114480.76073817773,28.5015,28.4435
3085,78.91794200000002,340.065293,510115.80025588506,-1090700.0575569065,28.3895,114513.1125118003,28.5015,28.4414
3086,78.917934,340.066832,510145.4674299836,-1090687.1472246617,28.385,114545.46707712975,28.5015,28.4351
3087,78.917925,340.06837,510175.16155555076,-1090674.3439994014,28.3726,114577.80380037545,28.5015,28.4296
3088,78.917916,340.069908,510204.855361354,-1090661.5399658864,28.4292,114610.14055001619,28.5015,28.4296
3089,78.917906,340.071446,510234.5951655227,-1090648.834131205,28.5015,114642.4808373827,28.5015,28.4296
3090,78.917896,340.072983,510264.3156200071,-1090636.1363915938,28.4838,114674.80015058686,28.5124,28.4296
3091,78.917886,340.074519,510294.01672545157,-1090623.4467486157,28.4844,114707.09848960835,28.5124,28.4296
3092,78.917875,340.076055,510323.76384336775,-1090610.8553003643,28.3822,114739.40074329713,28.5124,28.42405
3093,78.917864,340.07759,510353.4916183901,-1090598.2719483564,28.3031,114771.6820282086,28.5124,28.41455
3094,78.91785300000002,340.079126,510383.238119778,-1090585.6788784184,28.3239,114803.98434631867,28.5124,28.4096
3095,78.91784200000002,340.080659,510412.9272104869,-1090573.111722552,28.3307,114836.22369360884,28.5015,28.4063
3096,78.91783199999998,340.082192,510442.56965736405,-1090560.444760308,28.316,114868.45918010047,28.5015,28.39655
3097,78.91782099999998,340.083725,510472.258131181,-1090547.8759897444,29.0852,114900.69858876539,28.5015,28.38725
3098,78.91781,340.085258,510501.9462978446,-1090535.3064112202,34.847,114932.93802958127,29.0445,28.3836
3099,78.9178,340.08679,510531.5687794485,-1090522.6459405157,40.0386,114965.15260601537,29.0852,28.3836
3100,78.91779,340.088321,510561.1719160061,-1090509.9935763548,40.7487,114997.34620806473,29.0852,28.3836
3101,78.91778000000002,340.089852,510590.7747409282,-1090497.3404088034,41.3622,115029.53983930527,29.0852,28.3836
3102,78.917771,340.091381,510620.2928364918,-1090484.6052709024,41.8768,115061.68796060435,29.0852,28.38135
3103,78.917763,340.092911,510649.783293048,-1090471.7614318973,42.0744,115093.85395551012,29.0852,28.37655
3104,78.917755,340.094439,510679.2353635722,-1090458.9346215716,41.913000000000004,115125.97795777164,29.0852,28.37175
3105,78.917748,340.095968,510708.6597844777,-1090445.9991151018,36.9214,115158.12020214336,29.0852,28.36495
3106,78.917742,340.0974970000001,510738.0375154915,-1090432.9638287236,29.0445,115190.26004922578,29.0852,28.35725
3107,78.917738,340.0990220000001,510767.2460571955,-1090419.7654396335,28.359,115222.31213781671,29.0852,28.35725
3108,78.917734,340.100549,510796.4923205033,-1090406.5484380329,34.4602,115254.40626576536,29.0852,28.35725
3109,78.917731,340.102075,510825.6728400663,-1090393.2405853034,41.4782,115286.47808620385,29.0852,28.35435
3110,78.91772900000002,340.1036,510854.7876086508,-1090379.8418866862,37.8688,115318.52796723893,29.0445,28.3475
3111,78.91772900000002,340.105123,510883.77121219854,-1090366.262284154,31.0545,115350.53507394258,28.5458,28.34
3112,78.91773,340.106648,510912.74613627524,-1090352.5650983476,27.694000000000003,115382.58439724693,28.5433,28.34405
3113,78.917732,340.108171,510941.6362515174,-1090338.7860004057,28.095,115414.59224470348,28.4474,28.34405
3114,78.917736,340.109694,510970.4332267264,-1090324.8081846605,28.4474,115446.60232302573,28.359,28.34
3115,78.917741,340.111215,510999.1453739501,-1090310.7484706943,28.5458,115478.57204237074,28.359,28.33815
