,dist_along,ATM_elev,idx_ATM,z_ATL06,t_ATL06,idx_ATL06,gt_ATL06,slope_ATM,slope_ATL06,residuals
101,109370.89154809447,495.339,3204.0,486.092725,2018-12-26 02:17:13,132905.0,gt1r,,,-9.246275000000026
102,112482.6943801414,548.9958,3301.0,539.16952,2018-12-26 02:17:13,136473.0,gt2l,0.0017381501326189062,0.01074702963663793,-9.826279999999997
103,112579.80912117104,549.1646,3304.0,540.213215,2018-12-26 02:17:13,139247.0,gt2r,,,-8.95138499999996
104,88015.33417806444,219.3856,2574.0,193.458825,2018-12-27 12:41:01,182556.0,gt1l,0.022606652340272988,-0.009326135754272834,-25.92677500000002
105,87948.0442504315,217.8644,2572.0,194.08638,2018-12-27 12:41:01,186485.0,gt1r,,,-23.778019999999998
106,84622.28609026935,132.33365,2474.0,104.21964200000001,2018-12-27 12:41:01,190415.0,gt2l,-0.008231052625252897,-0.01801745009350729,-28.114008
107,84553.78938326614,132.89745,2472.0,105.453778,2018-12-27 12:41:01,194368.0,gt2r,,,-27.443671999999992
108,81245.79435837988,132.40355,2375.0,100.64939749999999,2018-12-27 12:41:01,198300.0,gt3l,0.0007744132848602866,-0.003947889795307042,-31.754152500000004
109,81177.80740486384,132.3509,2373.0,100.91780250000001,2018-12-27 12:41:01,202237.0,gt3r,,,-31.433097499999988
110,109145.97950128737,483.58455,3197.0,472.54747000000003,2018-12-31 12:32:45,502473.0,gt1l,0.05952881281053669,0.031127054967466664,-11.037079999999946
111,109081.87272979596,479.76835,3195.0,470.552015,2018-12-31 12:32:45,505437.0,gt1r,,,-9.216335000000015
112,105585.16938776316,423.5294,3082.0,421.65021500000006,2018-12-31 12:32:45,508370.0,gt2l,-0.0,-0.02712356514268566,-1.87918499999995
113,105493.27199201568,423.5294,3079.0,424.1428,2018-12-31 12:32:45,512132.0,gt2r,,,0.6134000000000128
114,101964.3983054915,317.899,2985.0,313.61586,2018-12-31 12:32:45,515854.0,gt3l,,,-4.283140000000003
115,101964.3983054915,317.899,2985.0,312.908905,2018-12-31 12:32:45,519831.0,gt3r,,,-4.990094999999997
116,52508.48293818037,43.5006,1520.0,38.36893,2019-01-12 01:18:14,459564.0,gt1l,-0.0017934081611975813,-0.00644430562226005,-5.13167
117,52638.291648231374,43.2678,1524.0,37.532403,2019-01-12 01:18:14,462354.0,gt1r,,,-5.735396999999999
118,55791.85319693247,27.2267,1620.0,28.034340999999998,2019-01-12 01:18:14,465921.0,gt2l,,,0.8076409999999967
119,59108.31279016892,27.10825,1721.0,27.965261500000004,2019-01-12 01:18:14,472754.0,gt3l,-4.1730512175649354e-05,0.006944359356416322,0.8570115000000023
120,59240.110837047694,27.10275,1725.0,28.8805145,2019-01-12 01:18:14,475920.0,gt3r,,,1.7777645
121,69049.69742684957,27.2408,2006.0,28.789461,2019-01-16 01:09:49,19999.0,gt1l,-0.0008431739508807223,0.006700091220260288,1.5486609999999992
122,69114.63064726371,27.18605,2008.0,29.2245195,2019-01-16 01:09:49,23921.0,gt1r,,,2.038469499999998
123,72231.0988868999,27.03075,2104.0,61.209326000000004,2019-01-16 01:09:49,27840.0,gt2l,1.0727572463958348e-05,-0.18165834437660014,34.17857600000001
124,72296.35130093394,27.03145,2106.0,49.3556805,2019-01-16 01:09:49,31756.0,gt2r,,,22.3242305
125,75439.67449592224,89.6562,2202.0,69.13707,2019-01-16 01:09:49,35604.0,gt3l,0.007436327290777833,0.0013811538078014455,-20.519130000000004
126,75537.77399739317,90.3857,2205.0,69.2725605,2019-01-16 01:09:49,39474.0,gt3r,,,-21.113139500000003
127,51924.76483264302,45.5343,1502.0,43.563355,2019-01-17 11:33:37,376953.0,gt1l,-0.0,-0.01301881098801156,-1.9709450000000004
128,51827.35808780528,45.5343,1499.0,44.831475,2019-01-17 11:33:37,380913.0,gt1r,,,-0.7028250000000043
129,48705.048670712014,43.7217,1428.0,41.992216,2019-01-17 11:33:37,384876.0,gt2l,0.0014840308286723034,0.0037045167101444135,-1.7294839999999994
130,48639.315534906964,43.62415,1426.0,41.7487065,2019-01-17 11:33:37,388837.0,gt2r,,,-1.875443500000003
131,45446.59560202333,27.788,1328.0,30.433750500000002,2019-01-17 11:33:37,391946.0,gt3l,-0.0,0.010029542235467757,2.645750500000002
132,45381.07631065665,27.788,1326.0,29.776622000000003,2019-01-17 11:33:37,395032.0,gt3r,,,1.988622000000003
133,85135.30654537723,130.02795,2489.0,104.86073999999999,2019-01-20 01:01:33,258436.0,gt1l,0.0,-0.02341777521256415,-25.16721000000001
134,85237.78938066862,130.02795,2492.0,102.46082,2019-01-20 01:01:33,262374.0,gt1r,,,-27.567130000000006
135,88350.67397344008,234.5761,2584.0,209.03894499999998,2019-01-20 01:01:33,266320.0,gt2l,0.04789510818152173,0.12775961528946486,-25.537155000000013
136,88417.46471933162,237.77505,2586.0,217.572105,2019-01-20 01:01:33,270273.0,gt2r,,,-20.202945
137,91524.12922346448,299.7309,2682.0,274.96199,2019-01-20 01:01:33,274196.0,gt3l,0.0,0.0038767517025206227,-24.768910000000005
138,91620.2264276671,299.7309,2685.0,275.334535,2019-01-20 01:01:33,278178.0,gt3r,,,-24.396365000000003
139,101256.08976362436,313.95495,2977.0,307.05158,2019-01-24 00:53:21,696449.0,gt1l,0.019715757471957616,0.029214734721249424,-6.903369999999995
140,101321.14939939156,315.2376500000001,2979.0,308.95228,2019-01-24 00:53:21,700374.0,gt1r,,,-6.285370000000114
141,104467.39208494943,423.5294,3046.0,421.45525,2019-01-24 00:53:21,704254.0,gt2l,0.0,0.039241335024328666,-2.0741500000000315
142,104530.1204553903,423.5294,3048.0,423.916795,2019-01-24 00:53:21,708214.0,gt2r,,,0.3873949999999695
143,107663.5189271098,437.83595,3150.0,425.139725,2019-01-24 00:53:21,712147.0,gt3l,0.02868209356931093,0.045664869695055385,-12.696225000000027
144,107725.53322867052,439.61465,3152.0,427.9716,2019-01-24 00:53:21,716129.0,gt3r,,,-11.64304999999996
145,85203.64829949844,130.02795,2491.0,106.41805,2019-01-25 11:17:11,478670.0,gt1l,-0.0,-0.013210186240248395,-23.60990000000001
146,85101.15636824354,130.02795,2488.0,107.7719875,2019-01-25 11:17:11,482607.0,gt1r,,,-22.25596250000001
147,81824.4173313775,134.6258,2392.0,105.863505,2019-01-25 11:17:11,486528.0,gt2l,0.008201197167946768,0.02178738230558616,-28.762294999999995
148,81756.29313090301,134.0671,2390.0,104.379257,2019-01-25 11:17:11,490460.0,gt2r,,,-29.687843000000015
149,78457.58412653214,119.1187,2293.0,89.775385,2019-01-25 11:17:11,494318.0,gt3l,0.010831571628528271,-0.02340930421142796,-29.343315000000004
150,78389.8469573417,118.385,2291.0,91.361065,2019-01-25 11:17:11,498192.0,gt3r,,,-27.02393500000001
151,102969.16756876053,328.32545,3017.0,289.020675,2019-01-29 11:08:55,305906.0,gt1l,,,-39.30477500000001
152,102969.16756876053,328.32545,3017.0,279.05763,2019-01-29 11:08:55,309882.0,gt1r,,,-49.26781999999997
153,99640.31314803989,275.4149,2928.0,262.456975,2019-01-29 11:08:55,313828.0,gt2l,0.031457494588838744,0.06139763387355851,-12.957924999999989
154,99573.89495335183,273.32555,2926.0,258.379055,2019-01-29 11:08:55,317800.0,gt2r,,,-14.946495000000027
155,95849.36119836064,264.01635,2814.0,245.46095499999998,2019-01-29 11:08:55,321704.0,gt3l,-0.0,0.008435413397971141,-18.555395000000004
156,95749.18057174153,264.01635,2811.0,244.61588999999998,2019-01-29 11:08:55,325681.0,gt3r,,,-19.40046000000001
157,47041.099754800154,39.1648,1377.0,36.828631,2019-02-09 23:54:28,633447.0,gt1l,0.0033304399556129613,0.01403880978513673,-2.336168999999998
158,47106.00109002336,39.38095,1379.0,37.7397685,2019-02-09 23:54:28,635527.0,gt1r,,,-1.6411815000000018
159,50321.164244252264,45.614,1477.0,45.42964,2019-02-09 23:54:28,638427.0,gt2l,0.0,-0.00158721332676642,-0.18435999999999808
160,50387.152853491934,45.614,1479.0,45.324902,2019-02-09 23:54:28,641333.0,gt2r,,,-0.28909799999999564
161,53582.32386413439,40.16055,1553.0,40.5981125,2019-02-09 23:54:28,645057.0,gt3l,-0.003763550300783557,-0.015592524946502278,0.4375624999999985
162,53647.74081895727,39.91435,1555.0,39.578097,2019-02-09 23:54:28,648792.0,gt3r,,,-0.33625299999999925
163,63593.327430364836,27.06205,1857.0,28.4187605,2019-02-13 23:46:06,409992.0,gt1l,-2.7546433953444048e-05,0.0013113250329926346,1.356710500000002
164,63658.67164163522,27.06025,1859.0,28.504448000000004,2019-02-13 23:46:06,413583.0,gt1r,,,1.4441980000000036
165,66911.07763560071,27.07685,1941.0,27.8280065,2019-02-13 23:46:06,417329.0,gt2l,0.0,0.0018209837201021786,0.7511565000000004
166,66977.50217233035,27.07685,1943.0,27.9489645,2019-02-13 23:46:06,421050.0,gt2r,,,0.8721144999999986
