ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along
79.200624,335.007069,401395.1511370512,-1102400.9030605901,880.9538,3479.851401683595
79.200508,335.008635,401429.61811535375,-1102401.8405304942,880.5046,3514.3311267859103
79.200391,335.010201,401464.122831688,-1102402.8796027075,880.0753,3548.851484842709
79.200275,335.011767,401498.5905165623,-1102403.8149548147,879.6806,3583.331858740905
79.200158,335.013334,401533.1151856205,-1102404.8448991177,879.2823,3617.8718870970947
79.20004200000001,335.0149,401567.5835769485,-1102405.7781327541,878.8093,3652.3529097872715
79.199925,335.01646600000004,401602.0897174347,-1102406.8129646182,878.3151,3686.87456398057
79.199809,335.018031,401636.5395744281,-1102407.7510901927,877.8575,3721.3371919485407
79.19969300000001,335.019598,401671.028264412,-1102408.6741375097,877.4186,3755.8382318336685
79.19957600000001,335.021162,401705.4969898951,-1102409.7198120337,876.9529,3790.3228149345277
79.19945899999999,335.022729,401740.02379465965,-1102410.7433933686,876.4518,3824.8647889081803
79.199343,335.024293,401774.45582309423,-1102411.6842981316,875.9412,3859.309670732531
79.199226,335.02586,401808.9833394926,-1102412.7057587265,875.4513,3893.8522932500073
79.19910899999999,335.027425,401843.4727315912,-1102413.7401845045,874.9661,3928.3571944094488
79.198992,335.02898999999996,401877.9624807877,-1102414.773550869,874.4891,3962.862420762586
79.198875,335.030554,401912.4333462657,-1102415.8128724995,874.0022,3997.348950832351
79.198758,335.03211899999997,401946.92380954477,-1102416.8441205865,873.4944,4031.854827575625
79.19864100000001,335.033684,401981.4146298273,-1102417.8743092034,873.0387,4066.361029515989
79.198524,335.035249,402015.90580707975,-1102418.9034383327,872.5846,4100.867556652515
79.198406,335.036813,402050.4155343464,-1102420.0411687065,872.1019,4135.3960333988725
79.19829,335.038377,402084.8507506128,-1102420.9725534688,871.5897,4169.843843153444
79.198172,335.03994,402119.34195630933,-1102422.1151834824,871.0747,4204.353970272148
79.19805500000001,335.04150400000003,402153.8153229438,-1102423.1470947878,870.5931,4238.842777848748
79.197938,335.043069,402188.3082872868,-1102424.1709282096,870.1346,4273.3509337548885
79.19782099999999,335.04463300000003,402222.7823674574,-1102425.2007221417,869.6687,4307.840391262263
79.197703,335.046196,402257.2750141516,-1102426.3391159994,869.2006,4342.351818595034
79.197586,335.047761,402291.76905148715,-1102427.359771367,868.7307,4376.860952879837
79.197469,335.049325,402326.24420449743,-1102428.3863889966,868.2629,4411.351388058881
79.197352,335.050887,402360.6812320757,-1102429.4259931934,867.8509,4445.8041041391925
79.197234,335.05245099999996,402395.19456026296,-1102430.55312868,867.4143,4480.335832404199
79.197117,335.054014,402429.6515447296,-1102431.5835947627,866.9597,4514.808221919317
79.197,335.055577,402464.10888567823,-1102432.6130035224,866.5428,4549.2809361676145
79.196883,335.05714,402498.56658307655,-1102433.6413549397,866.1069,4583.753975149283
79.196765,335.058703,402533.06211013714,-1102434.7712785972,865.6576,4618.268002944651
